名称,类型,经度,纬度,地址,省份,城市,区县
特来电汽车充电站(巢湖黄麓车站充电站),汽车服务;充电站;充电站,117.585837,31.621809,黄麓镇烔中路黄麓镇初级中学,安徽省,合肥市,巢湖市
中国石化汽车充电站(岐阳充电站),汽车服务;充电站;充电站,117.65147,31.694975,烔炀镇中国石化歧阳加油站,安徽省,合肥市,巢湖市
达克云汽车充电站(公牛烔炀镇快充站),汽车服务;充电站;充电站,117.63494,31.69239,烔炀镇烔黄路407号烔炀镇中心学校对面,安徽省,合肥市,巢湖市
开迈斯汽车充电站(合肥市黄麓半岛商业交站),汽车服务;充电站;充电站,117.588507,31.614386,黄麓镇半岛大道与书香路交汇处半岛商业广场地下停车场负一层021-026车位,安徽省,合肥市,巢湖市
云快充汽车充电站(富煌电科黄麓富煌半岛假日酒店120kw直流快充站),汽车服务;充电站;充电站,117.583569,31.616735,黄麓镇三汊河路富煌半岛假日酒店南侧地上停车场,安徽省,合肥市,巢湖市
国家电网汽车充电站(安徽省合肥市巢湖市烔炀有序交流充电站),汽车服务;充电站;充电站,117.63759,31.68708,烔炀镇烔炀中心供电所院内,安徽省,合肥市,巢湖市
国家电网汽车充电站(安徽省合肥市肥东县桥头集电力便民服务点有序交流充电站),汽车服务;充电站;充电站,117.537925,31.729714,桥头集镇国光社区停车场,安徽省,合肥市,肥东县
驴充充汽车充电站(小二楼食府),汽车服务;充电站;充电站,117.534353,31.724287,026县道西侧,安徽省,合肥市,肥东县
汽车充电站(开迈斯充电站合肥市黄麓半岛商业交直流站),汽车服务;充电站;充电站,117.588213,31.614496,黄麓镇半岛大道与书香路交汇处半岛商业广场地下停车场负一层021-026车位,安徽省,合肥市,巢湖市
国家电网汽车充电站(安徽省合肥市肥东县长临河镇停车场充电站),汽车服务;充电站;充电站,117.462026,31.686375,长临河古镇景区环湖北路地面停车场,安徽省,合肥市,肥东县
国家电网汽车充电站(安徽省合肥市巢湖市中庙快充站),汽车服务;充电站;充电站,117.479831,31.596658,中庙供电所旁地面停车场,安徽省,合肥市,巢湖市
星星充电汽车充电站(安徽创新馆站),汽车服务;充电站;充电站,117.334561,31.71238,安徽创新馆地面停车场,安徽省,合肥市,包河区
开迈斯汽车充电站(合肥市长临河古镇站),汽车服务;充电站;充电站,117.46188,31.690853,长临河镇人民政府司法局后停车场,安徽省,合肥市,肥东县
国家电网汽车充电站(安徽省合肥市巢湖市中庙镇卫生院有序交流充电站),汽车服务;充电站;充电站,117.485175,31.597229,中庙街道卫生院停车场,安徽省,合肥市,巢湖市
招商建筑科技汽车充电站(安徽创新馆招小充汽车充电站),汽车服务;充电站;充电站,117.333234,31.71139,云谷路安徽创新馆(渡江纪念馆地铁站B口步行340米),安徽省,合肥市,包河区
皖小能汽车充电站(肥西县三河镇五合村党群服务中心慢充),汽车服务;充电站;充电站,117.33903,31.562836,五合村党群服务中心三河镇五合村(肥西县环巢湖大道西南侧),安徽省,合肥市,肥西县
星星充电汽车充电站(星星充电马集通泰),汽车服务;充电站;充电站,117.627517,31.874162,重工机械产业园合肥通泰建材有限公司院内,安徽省,合肥市,肥东县
特来电汽车充电站(肥东县石塘人民政府停车场充电站),汽车服务;充电站;充电站,117.633512,31.931321,石塘镇人民政府,安徽省,合肥市,肥东县
国家电网汽车充电站(安徽省合肥市肥东县安徽晶科能源有限公司停车场充电站),汽车服务;充电站;充电站,117.513913,31.759019,龙兴大道与乳泉路交叉口东北500米,安徽省,合肥市,肥东县
小桔充电汽车充电站(合肥市双杰电气肥东),汽车服务;充电站;充电站,117.507131,31.780863,龙兴大道18号,安徽省,合肥市,肥东县
云快充汽车充电站(安徽宇阳云智能),汽车服务;充电站;充电站,117.492578,31.786969,安徽昱阳新能源科技有限公司,安徽省,合肥市,肥东县
云快充汽车充电站(合来电四方复合肥家属区),汽车服务;充电站;充电站,117.572919,31.75327,桥头集合马路,安徽省,合肥市,肥东县
快电汽车充电站(安徽郝智新材料科技有限公司),汽车服务;充电站;充电站,117.50649,31.78344,撮镇镇联东U谷·肥东国际企业港,安徽省,合肥市,肥东县
蔚来能源目的地充电站(内部使用合肥理工学校),汽车服务;充电站;充电站,117.50471,31.865755,双桥村331省道与站南路交叉口东北,安徽省,合肥市,肥东县
广州蔚星汽车充电站(中科全速光储充体验站),汽车服务;充电站;专用充电站,117.497955,31.788345,撮镇镇天工科技园中科全速科技园,安徽省,合肥市,肥东县
广州蔚星汽车充电站(中科全速光储充体验站),汽车服务;充电站;专用充电站,117.498764,31.788216,合肥循环经济示范园漫泉路8号中科全速科技园,安徽省,合肥市,肥东县
全速汽车充电站(内部专用),汽车服务;充电站;专用充电站,117.49871,31.787713,天工科技园东侧,安徽省,合肥市,肥东县
易佳电汽车充电站(易佳电循环园充电站)(暂停营业),汽车服务;充电站;充电站,117.519875,31.759193,X036与乳泉路交叉路口往西约190米,安徽省,合肥市,肥东县
易佳电汽车充电站(易佳电肥东乾锐科技充电站)(暂停营业),汽车服务;充电站;充电站,117.52807,31.759386,乳泉路与石泉路交叉路口往东约180米,安徽省,合肥市,肥东县
驴充充汽车充电站(肥东县八斗镇大张社区),汽车服务;充电站;充电站,117.592417,32.136813,八斗镇大张社区居民委员会西北侧90米,安徽省,合肥市,肥东县
云快充汽车充电站(牛特快速充电桩中心),汽车服务;充电站;充电站,117.613688,31.97927,梁园镇上卞湾,安徽省,合肥市,肥东县
云快充汽车充电站(牛特快速充电桩中心),汽车服务;充电站;充电站,117.61459,31.982668,梁园镇上卞湾,安徽省,合肥市,肥东县
云快充汽车充电站(皋源泛能岭秀苑交流),汽车服务;充电站;充电站,117.588429,32.103644,岭秀苑小区,安徽省,合肥市,肥东县
国家电网汽车充电站(芜合高速巢湖服务区充电站合肥方向),汽车服务;充电站;充电站,117.805851,31.759253,芜合高速巢湖服务区合肥方向,安徽省,合肥市,巢湖市
易佳电汽车充电站(易佳电巢湖市柘皋镇充电站),汽车服务;充电站;充电站,117.74887,31.77673,柘皋镇政府大门口,安徽省,合肥市,巢湖市
理想汽车充电站(理想5C超充站芜合高速巢湖服务区合肥方向),汽车服务;充电站;充电站,117.80606,31.759703,巢湖服务区,安徽省,合肥市,巢湖市
巢湖服务区国家电网汽车充电站,汽车服务;充电站;充电站,117.806515,31.759191,巢湖服务区东南侧地面停车场,安徽省,合肥市,巢湖市
蔚来能源汽车充电站(合肥方向G5011芜合高速巢湖服务区),汽车服务;充电站;充电站,117.80647,31.759344,芜合高速公路东150米,安徽省,合肥市,巢湖市
理想汽车充电站(理想5C超充站芜合高速巢湖服务区芜湖方向),汽车服务;充电站;充电站,117.80289,31.75888,巢湖服务区,安徽省,合肥市,巢湖市
巢湖服务区国家电网电动汽车充电站,汽车服务;充电站;充电站,117.802351,31.759505,巢湖服务区西北侧地面停车场,安徽省,合肥市,巢湖市
星星充电汽车充电站(星星充电-庙岗镇政府大院停车场),汽车服务;充电站;充电站,117.681898,31.790898,庙岗镇012乡道庙岗镇人民政府,安徽省,合肥市,巢湖市
国家电网汽车充电站(芜合高速巢湖服务区充电站芜湖方向),汽车服务;充电站;充电站,117.803501,31.758624,芜合高速巢湖服务区芜湖方向,安徽省,合肥市,巢湖市
蔚来能源汽车充电站(芜湖方向G5011芜合高速巢湖服务区),汽车服务;充电站;充电站,117.80235,31.759504,西北侧地面停车场,安徽省,合肥市,巢湖市
达克云汽车充电站(公牛庙岗镇快充站),汽车服务;充电站;充电站,117.681885,31.791384,庙岗镇人民政府(星火路西),安徽省,合肥市,巢湖市
柘皋镇供电局充电站,汽车服务;充电站;充电站,117.761809,31.773175,东湾街10号供电局院子内,安徽省,合肥市,巢湖市
国家电网汽车充电站(安徽省合肥市巢湖市柘皋有序交流充电站),汽车服务;充电站;充电站,117.761997,31.773278,柘皋大转盘附近院内,安徽省,合肥市,巢湖市
理想汽车充电站(理想5C超充站芜合高速巢湖服务区芜湖方向),汽车服务;充电站;充电站,117.80289,31.75888,中国石化巢湖服务区南加油站西北侧190米,安徽省,合肥市,巢湖市
蔚来能源汽车充电站(合肥方向G5011芜合高速巢湖服务区),汽车服务;充电站;充电站,117.80647,31.759344,芜合高速公路东150米,安徽省,合肥市,巢湖市
易佳电汽车充电站(易佳电芜合高速巢湖服务区充电站芜湖方向),汽车服务;充电站;充电站,117.80346,31.758598,芜合高速巢湖服务区充电站(芜湖方向),安徽省,合肥市,巢湖市
星星充电汽车充电站(苏湾),汽车服务;充电站;充电站,117.823046,31.884612,苏湾镇002县道豪瑞宴会酒店,安徽省,合肥市,巢湖市
青岗集服务区汽车充电站,汽车服务;充电站;充电站,117.84538,31.920295,S09明合高速与青岗集服务区交叉口西南400米,安徽省,合肥市,巢湖市
汽车充电站(公牛苏湾镇充电站),汽车服务;充电站;充电站,117.819618,31.877954,苏湾镇党建公园停车场,安徽省,合肥市,巢湖市
青岗集服务区汽车充电站,汽车服务;充电站;充电站,117.847491,31.918013,明巢高速,安徽省,合肥市,巢湖市
国家电网汽车充电站(安徽省合肥市巢湖市苏湾有序交流充电站),汽车服务;充电站;充电站,117.818824,31.874496,苏湾镇苏湾中心供电所大院门右侧院外,安徽省,合肥市,巢湖市
达克云汽车充电站(公牛苏湾镇快充站),汽车服务;充电站;充电站,117.82025,31.877798,苏湾镇中心卫生院西50米,安徽省,合肥市,巢湖市
星星充电汽车充电站(栏杆集),汽车服务;充电站;充电站,117.821185,31.979257,巢湖市栏杆骨科医院,安徽省,合肥市,巢湖市
达克云汽车充电站(公牛栏杆集镇快充站),汽车服务;充电站;充电站,117.81812,31.979736,栏杆镇兰心阁民宿西北50米(S326北),安徽省,合肥市,巢湖市
中国石化汽车充电站(马湖充电站),汽车服务;充电站;充电站,117.822808,32.061155,马湖乡乾合社区大鲁组兴桥公交站旁,安徽省,合肥市,肥东县
星星充电汽车充电站(星星充电-栏杆),汽车服务;充电站;充电站,117.817495,31.980259,栏杆集镇326省道,安徽省,合肥市,巢湖市
国家电网汽车充电站(安徽省合肥市巢湖市栏杆集镇人民政府有序交流充电站),汽车服务;充电站;充电站,117.823385,31.976405,栏杆集镇停车场,安徽省,合肥市,巢湖市
特来电汽车充电站(鎏金新能源充电站),汽车服务;充电站;充电站,117.818082,31.979683,栏杆集镇326省道,安徽省,合肥市,巢湖市
沪蓉高速文集服务区充电站(陕西方向),汽车服务;充电站;充电站,117.719346,31.959594,沪蓉高速文集服务区(陕西方向),安徽省,合肥市,肥东县
理想汽车充电站(理想5C超充站沪陕高速文集服务区西安方向),汽车服务;充电站;充电站,117.71925,31.959621,文集服务区,安徽省,合肥市,肥东县
国家电网汽车充电站(沪蓉高速文集服务区充电站上海方向),汽车服务;充电站;充电站,117.718288,31.957684,326省道与岘山路交叉口东北360米地面停车场,安徽省,合肥市,肥东县
理想汽车充电站(理想5C超充站沪陕高速文集服务区上海方向),汽车服务;充电站;充电站,117.718056,31.957712,文集服务区,安徽省,合肥市,肥东县
中国石化汽车充电站(巢北充电站),汽车服务;充电站;充电站,117.803,31.970997,杆集镇中国石化巢北加油站,安徽省,合肥市,巢湖市
云快充汽车充电站(云快充汽车充电站杨塘站),汽车服务;充电站;充电站,117.78013,32.106697,古城镇杨塘社区,安徽省,合肥市,肥东县
蔚来能源汽车充电站(上海方向G40沪陕高速文集服务区),汽车服务;充电站;充电站,117.71647,31.957634,326省道与岘山路交叉口东北240米,安徽省,合肥市,肥东县
蔚来能源汽车充电站(西安方向G40沪陕高速文集服务区),汽车服务;充电站;充电站,117.71941,31.96048,文集服务区北(G40北),安徽省,合肥市,肥东县
能效邻里共享汽车充电站(周集佳佳惠酒店充电站),汽车服务;充电站;充电站,117.67707,31.97318,包公镇板桥社区周集街道,安徽省,合肥市,肥东县
云快充汽车充电站(云快充汽车充电站古城镇黄山站),汽车服务;充电站;充电站,117.74196,32.08543,古城镇黄山社区,安徽省,合肥市,肥东县
国家电网汽车充电站(安徽省合肥市肥东县古城有序交流充电站),汽车服务;充电站;充电站,117.78479,32.110902,杨塘社区杨塘变电所北侧供电所外,安徽省,合肥市,肥东县
汽车充电站(公牛陈集镇小林站),汽车服务;充电站;充电站,117.737284,32.205797,[],安徽省,合肥市,肥东县
国家电网汽车充电站(安徽省合肥市肥东县陈集有序交流充电站),汽车服务;充电站;充电站,117.720222,32.216065,陈集镇肖圩社区供电所外,安徽省,合肥市,肥东县
云快充汽车充电站(白龙充电站),汽车服务;充电站;充电站,117.426676,32.145985,农商银行(白龙支行)西北侧约80米,安徽省,合肥市,肥东县
皖小能汽车充电站(造甲乡造甲新村),汽车服务;充电站;充电站,117.344309,32.24341,造甲乡227省道造甲新村,安徽省,合肥市,长丰县
驴充充汽车充电站(红绿灯路口东100米),汽车服务;充电站;充电站,117.4586,32.200554,X022费集乡,安徽省,合肥市,肥东县
云快充汽车充电站(云快充汽车充电站青龙甸),汽车服务;充电站;充电站,117.377655,32.18466,白龙镇青龙甸生态园,安徽省,合肥市,肥东县
汽车充电站(快充),汽车服务;充电站;充电站,117.459601,32.200494,白龙镇030乡道与101省道交叉口东80米,安徽省,合肥市,肥东县
国家电网汽车充电站(安徽省合肥市长丰县隆兴服务站有序交流充电站),汽车服务;充电站;充电站,117.38015,32.33567,杜集乡隆兴街道院外,安徽省,合肥市,长丰县
皖小能汽车充电站(下塘镇朝晖社区),汽车服务;充电站;充电站,117.36001,32.1639,下塘镇长丰县食品安全工作站朝晖社区居委会,安徽省,合肥市,长丰县
皖小能汽车充电站(造甲乡宗旱村),汽车服务;充电站;充电站,117.334816,32.296932,造甲乡宗旱村村民委员会,安徽省,合肥市,长丰县
皖小能汽车充电站(造甲乡联合村),汽车服务;充电站;充电站,117.36225,32.27611,联合村村委会,安徽省,合肥市,长丰县
皖小能汽车充电站(杜集镇庙后村),汽车服务;充电站;充电站,117.3901,32.314884,杜集镇庙后村村委会庙后村党群服务中心,安徽省,合肥市,长丰县
皖小能汽车充电站(造甲乡凤楼社区),汽车服务;充电站;充电站,117.33489,32.21388,造甲乡凤楼社区居委会,安徽省,合肥市,长丰县
皖小能汽车充电站(造甲乡马塘村),汽车服务;充电站;充电站,117.389015,32.269447,马塘村委会造甲乡马塘村东北组,安徽省,合肥市,长丰县
皖小能汽车充电站(杜集镇高祠村),汽车服务;充电站;充电站,117.39493,32.29435,杜集镇高祠村村委会,安徽省,合肥市,长丰县
皖小能汽车充电站(杜集镇大李村),汽车服务;充电站;充电站,117.3718,32.31553,杜集镇大李村村委会,安徽省,合肥市,长丰县
皖小能汽车充电站(杜集镇隆兴社区),汽车服务;充电站;充电站,117.38598,32.332653,杜集镇隆兴社区为民服务中心隆兴社居委,安徽省,合肥市,长丰县
汽车充电站(吉瓦充电响导站),汽车服务;充电站;充电站,117.613891,32.213653,响导大街x028号,安徽省,合肥市,肥东县
国家电网汽车充电站(安徽省合肥市肥东县八斗有序交流充电站),汽车服务;充电站;充电站,117.60534,32.148083,八斗镇八斗社区供电所外,安徽省,合肥市,肥东县
驴充充汽车充电站(刘兴村),汽车服务;充电站;充电站,117.398751,32.361364,S322刘兴村地面停车场,安徽省,合肥市,长丰县
皖小能汽车充电站(杜集镇邱集社区),汽车服务;充电站;充电站,117.43287,32.366222,杜集镇邱集社区监督委员会邱集社区居委会,安徽省,合肥市,长丰县
汽车充电站( 咔咔电姆快充充电站),汽车服务;充电站;充电站,117.353211,32.362763,322省道,安徽省,合肥市,长丰县
国家电网汽车充电站(安徽省合肥市长丰县杜集中心有序交流充电站),汽车服务;充电站;充电站,117.353843,32.363079,长丰县公安局杜集派出所院内,安徽省,合肥市,长丰县
皖小能汽车充电站(杜集镇东黄村),汽车服务;充电站;充电站,117.36502,32.36225,杜集镇东黄村村委会,安徽省,合肥市,长丰县
皖小能汽车充电站(杜集镇义合村),汽车服务;充电站;充电站,117.41145,32.33882,杜集镇义合村村委会,安徽省,合肥市,长丰县
皖小能汽车充电站(五七干校),汽车服务;充电站;充电站,117.337326,32.392757,杜集镇胜利村五七干校,安徽省,合肥市,长丰县
皖小能汽车充电站(杜集镇迎新村安置点小区),汽车服务;充电站;充电站,117.36644,32.43869,杜集镇迎新村安置点小区停车场,安徽省,合肥市,长丰县
皖小能汽车充电站(杜集镇刘兴村),汽车服务;充电站;充电站,117.39868,32.364773,杜集镇刘兴村卫生室长丰县杜集镇刘兴村村民委员会,安徽省,合肥市,长丰县
皖小能汽车充电站(杜集镇新星村),汽车服务;充电站;充电站,117.33277,32.41895,杜集镇新星村村民委员会,安徽省,合肥市,长丰县
皖小能汽车充电站(杜集镇陈岗村),汽车服务;充电站;充电站,117.354904,32.42455,杜集镇陈岗村退役军人服务站杜集镇陈岗村,安徽省,合肥市,长丰县
皖小能汽车充电站(杜集镇沛兴村),汽车服务;充电站;充电站,117.36805,32.421726,杜集镇白水塘刘,安徽省,合肥市,长丰县
极电智充汽车充电站(庐江县人民医院罗河分院充电站),汽车服务;充电站;充电站,117.31017,31.019579,罗河派出所西侧庐江县人民医院罗河分院,安徽省,合肥市,庐江县
特来电汽车充电站(泥河镇快充站),汽车服务;充电站;充电站,117.322706,31.084434,"泥河镇,长江中路顺丰速运门口",安徽省,合肥市,庐江县
沙溪服务区国家电网电动汽车充电站,汽车服务;充电站;充电站,117.254622,31.14705,京台高速沙溪服务区北京方向,安徽省,合肥市,庐江县
国家电网汽车充电站(沙溪服务区店),汽车服务;充电站;充电站,117.25466,31.147007,京台高速沙溪服务区北京方向,安徽省,合肥市,庐江县
国家电网汽车充电站(安徽省合肥市庐江县泥河中心有序交流充电站),汽车服务;充电站;充电站,117.316893,31.089173,泥河镇泥河街道泥河供电所院内,安徽省,合肥市,庐江县
汽车充电站(共享直流快充站),汽车服务;充电站;充电站,117.320288,31.085251,黄河路盲人按摩隔壁,安徽省,合肥市,庐江县
极电智充汽车充电站(庐江县泥河金铜新村小区),汽车服务;充电站;充电站,117.31078,31.08544,合铜路与长江路交叉路口往北约160米金铜新村,安徽省,合肥市,庐江县
极电智充汽车充电站(庐江县泥河医院),汽车服务;充电站;充电站,117.320465,31.083418,长江路与黄山路交叉路口往南约260米泥河中心卫生院,安徽省,合肥市,庐江县
盲人按摩汽车充电站,汽车服务;充电站;充电站,117.320301,31.085274,长江路42号,安徽省,合肥市,庐江县
汽车充电站(庐江县泥河镇育才家园站),汽车服务;充电站;充电站,117.324884,31.087744,长江路42号,安徽省,合肥市,庐江县
中国石化汽车充电站(合铜路充电站),汽车服务;充电站;充电站,117.307465,31.098198,泥河镇中国石化合铜路加油站,安徽省,合肥市,庐江县
中充服汽车充电站(中充服乐桥农贸综合市场服务站),汽车服务;充电站;充电站,117.17837,31.141474,乐桥镇新乐水体公园,安徽省,合肥市,庐江县
云快充汽车充电站(庐江县乐桥镇老院社区),汽车服务;充电站;充电站,117.184323,31.136592,乐桥镇运河家园,安徽省,合肥市,庐江县
中充服汽车充电站(中充服乐桥乡村振兴产业园服务站),汽车服务;充电站;充电站,117.18611,31.146454,乐桥镇乡村振兴产业园,安徽省,合肥市,庐江县
石小姐汽车充电桩,汽车服务;充电站;充电站,117.18242,31.087786,232省道,安徽省,合肥市,庐江县
